loss,val_acc,val_f1,val_precision,val_recall,val_auc,exp_group,param_name,param_value,img_size,lr,batch_size,,,
0.3870771443258483,0.9041850220264317,0.8925786020280014,0.8972218927204558,0.8904850294500495,0.980097553239545,Size_Study,img_size,224,224,3e-05,4,,,
0.3635783024513807,0.9096916299559471,0.8993185374706678,0.9028172298604256,0.8970014567411347,0.9805564438394402,Size_Study,img_size,256,256,3e-05,4,,,
0.3047549715918224,0.9218061674008811,0.9128576383683187,0.9176416160000704,0.9116036144913217,0.9852609528532856,Size_Study,img_size,300,300,3e-05,4,,,
0.3346453229142845,0.9196035242290749,0.9096229481723249,0.9129263567434052,0.9079263926261889,0.9843765520081813,LR_Study,lr,3e-05,256,3e-05,4,,,
0.36631765912663333,0.9118942731277533,0.9011752432293936,0.9046951745612514,0.8989262383199694,0.9847006183505709,LR_Study,lr,9e-05,256,9e-05,4,,,
0.3472805770025535,0.9129955947136564,0.9032486150446577,0.9037446688764728,0.9030740114333959,0.9838883293637364,LR_Study,lr,0.00015,256,0.00015,4,,,
0.3623795233593448,0.9030837004405287,0.8903024502605555,0.8918675123246868,0.8889511492296872,0.9817217454292191,Batch_Study,batch_size,2,256,3e-05,2,,,
0.314071088701862,0.9229074889867841,0.9135588947335401,0.9152341451752262,0.9128654187705856,0.98605959634227,Batch_Study,batch_size,4,256,3e-05,4,,,
0.302982969669086,0.9162995594713657,0.9062633354525461,0.9085293749687441,0.9047587843399366,0.9844099229673876,Batch_Study,batch_size,8,256,3e-05,8,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
